Customer Name,Customer Id,Billing Address Country,CITY,Zip,Gateway,Net Sale,Total Tax,Total Price Usd,Sum of Order Number,Product Type
Howey Antonietti,1,United States,MILWAUKEE,99985,gift_card,$537,53.713,590.843,3299,Running Shoes
Virgie Norree,1,United States,GREENSBORO,99978,shopify_payments,$723,72.313,795.443,5498,Boots
Maegan Rigeby,1,United States,LAS VEGAS,99973,gift_card,$527,52.713,579.843,4365,Running Shoes
Milicent Hamber,1,United States,WICHITA,99972,shopify_payments,$527,52.713,579.843,4100,Climbing Shoes
Lyn Gerin,1,United States,AUSTIN,99954,shopify_payments,$489,48.913,538.043,812,Gift Card
Dorri Smalecombe,1,United States,DALLAS,99932,shopify_payments,$602,60.233,662.563,6353,Cycling Shoes
Tallie Dunwoody,1,United States,DURHAM,99882,shopify_payments,$510,50.953,560.483,544,Cycling Shoes
Jilly Dartan,1,United States,CINCINNATI,99876,shopify_payments,$518,51.753,569.283,1836,Running Shoes
Carlota Vick,1,United States,ALBUQUERQUE,99864,shopify_payments,$635,63.513,698.643,5292,Running Shoes
Myrtice Tolliday,1,United States,SARASOTA,99858,gift_card,$510,50.953,560.483,2828,Running Shoes
Natty Durrington,1,United States,SPRINGFIELD,99848,shopify_payments,$733,73.313,806.443,4849,Climbing Shoes
Lynnett Abys,1,United States,FRESNO,99845,amazon_payments,$497,49.713,546.843,5530,Climbing Shoes
Dal Godbold,1,United States,BISMARCK,99843,gift_card,$518,51.753,569.283,583,Running Shoes
Carin Isenor,1,United States,DALLAS,99840,shopify_payments,$439,43.913,483.043,1684,Tennis Shoes
Katherine Olsen,1,United States,SANTA ANA,99801,gift_card,$605,60.513,665.643,2138,Walking Shoes
Oby Aggas,1,United States,IDAHO FALLS,99774,gift_card,$537,53.713,590.843,3094,Running Shoes
Dalton Ineson,1,United States,MUSKEGON,99745,shopify_payments,$537,53.713,590.843,4049,Walking Shoes
Marco Huc,1,United States,SACRAMENTO,99712,paypal,$635,63.513,698.643,1966,Tennis Shoes
Gwyn Esmonde,1,United States,HUNTINGTON,99693,shopify_payments,$538,53.833,592.163,4096,Cycling Shoes
Maddie Synnott,1,United States,ATLANTA,99692,paypal,$518,51.753,569.283,6304,Running Shoes
Fabien Whooley,1,United States,ALBANY,99690,shopify_payments,$517,51.713,568.843,3985,Running Shoes
Ollie Chicken,1,United States,LAKELAND,99679,shopify_payments,$527,52.713,579.843,4901,Running Shoes
Raymund Corns,1,United States,SAN ANTONIO,99666,amazon_payments,$703,70.313,773.443,667,Walking Shoes
Antony Lehon,1,United States,LIMA,99657,shopify_payments,$486,48.553,534.083,6777,Tennis Shoes
Winfield Saunter,1,United States,GAINESVILLE,99656,paypal,$525,52.513,577.643,5175,Cycling Shoes
Cally Dennison,1,United States,NASHVILLE,99644,shopify_payments,$635,63.513,698.643,6298,Running Shoes
Olav Besson,1,United States,OKLAHOMA CITY,99601,gift_card,$567,56.713,623.843,2052,Flip-Flops
